img_path,label
Advertisement/0000136188.jpg,Advertisement
Advertisement/0000435350.jpg,Advertisement
Advertisement/0000556056.jpg,Advertisement
Advertisement/0030048095.jpg,Advertisement
Advertisement/0030048989.jpg,Advertisement
Advertisement/0030049569.jpg,Advertisement
Advertisement/03496270.jpg,Advertisement
Advertisement/03567810.jpg,Advertisement
Advertisement/03722789.jpg,Advertisement
Advertisement/04102204.jpg,Advertisement
Advertisement/04106546.jpg,Advertisement
Advertisement/04233037_04233039.jpg,Advertisement
Advertisement/04412344.jpg,Advertisement
Advertisement/1002325458.jpg,Advertisement
Advertisement/1002760819.jpg,Advertisement
Advertisement/1002761179.jpg,Advertisement
Advertisement/1002761668.jpg,Advertisement
Advertisement/1002761869.jpg,Advertisement
Advertisement/1002762773.jpg,Advertisement
Advertisement/1002763015.jpg,Advertisement
Advertisement/1005116329_6330.jpg,Advertisement
Advertisement/1005150029.jpg,Advertisement
Advertisement/12320856.jpg,Advertisement
Advertisement/12779302.jpg,Advertisement
Advertisement/12779971.jpg,Advertisement
Advertisement/13581913.jpg,Advertisement
Advertisement/2021284642.jpg,Advertisement
Advertisement/2023086360.jpg,Advertisement
Advertisement/2023738160.jpg,Advertisement
Advertisement/2024182848.jpg,Advertisement
Advertisement/2025016432.jpg,Advertisement
Advertisement/2040144258.jpg,Advertisement
Advertisement/2040183521.jpg,Advertisement
Advertisement/2040697247.jpg,Advertisement
Advertisement/2040811409.jpg,Advertisement
Advertisement/2041076526.jpg,Advertisement
Advertisement/2041089398.jpg,Advertisement
Advertisement/2041511979.jpg,Advertisement
Advertisement/2042029706.jpg,Advertisement
Advertisement/2042333574.jpg,Advertisement
Advertisement/2042348217.jpg,Advertisement
Advertisement/2043025626.jpg,Advertisement
Advertisement/2044759026.jpg,Advertisement
Advertisement/2045081234.jpg,Advertisement
Advertisement/2045573975.jpg,Advertisement
Advertisement/2045630056.jpg,Advertisement
Advertisement/2045731638.jpg,Advertisement
Advertisement/2045830670.jpg,Advertisement
Advertisement/2047920303.jpg,Advertisement
Advertisement/2048509434.jpg,Advertisement
Advertisement/2048729226.jpg,Advertisement
Advertisement/2049398699.jpg,Advertisement
Advertisement/2050834062.jpg,Advertisement
Advertisement/2058501023.jpg,Advertisement
Advertisement/2058501637.jpg,Advertisement
Advertisement/2058502246.jpg,Advertisement
Advertisement/2058502871.jpg,Advertisement
Advertisement/2058503524.jpg,Advertisement
Advertisement/2058503900.jpg,Advertisement
Advertisement/2058504564.jpg,Advertisement
Advertisement/2061000301.jpg,Advertisement
Advertisement/2061002005.jpg,Advertisement
Advertisement/2061002797.jpg,Advertisement
Advertisement/2061003642.jpg,Advertisement
Advertisement/2061012559.jpg,Advertisement
Advertisement/2061141775.jpg,Advertisement
Advertisement/2061190138.jpg,Advertisement
Advertisement/2061199558.jpg,Advertisement
Advertisement/2063550295.jpg,Advertisement
Advertisement/2064004681.jpg,Advertisement
Advertisement/2064932937.jpg,Advertisement
Advertisement/2065199983_9984.jpg,Advertisement
Advertisement/2067540350_2067540352.jpg,Advertisement
Advertisement/2069506477.jpg,Advertisement
Advertisement/2070262428_2429.jpg,Advertisement
Advertisement/2070494554_4555.jpg,Advertisement
Advertisement/2070500515_0516.jpg,Advertisement
Advertisement/2070501595.jpg,Advertisement
Advertisement/2070711254_1255.jpg,Advertisement
Advertisement/2070711761.jpg,Advertisement
Advertisement/2070712842_2843.jpg,Advertisement
Advertisement/2070715949_5950.jpg,Advertisement
Advertisement/2070717320_7321.jpg,Advertisement
Advertisement/2070717402_7403.jpg,Advertisement
Advertisement/2070718633.jpg,Advertisement
Advertisement/2071388237.jpg,Advertisement
Advertisement/2071465080_5081.jpg,Advertisement
Advertisement/2071466317_6318.jpg,Advertisement
Advertisement/2072281108.jpg,Advertisement
Advertisement/2072998094.jpg,Advertisement
Advertisement/2073487737.jpg,Advertisement
Advertisement/2073971431.jpg,Advertisement
Advertisement/2083306564.jpg,Advertisement
Advertisement/2084396082.jpg,Advertisement
Advertisement/2084396137_6138.jpg,Advertisement
Advertisement/2084396927.jpg,Advertisement
Advertisement/2084412816_2817.jpg,Advertisement
Advertisement/2084420704.jpg,Advertisement
Advertisement/2084425560_5561.jpg,Advertisement
Advertisement/2084426012_6013.jpg,Advertisement
Advertisement/2084426710_6711.jpg,Advertisement
Advertisement/2084427165_7166.jpg,Advertisement
Advertisement/2084510807.jpg,Advertisement
Advertisement/2084513422.jpg,Advertisement
Advertisement/2085043981.jpg,Advertisement
Advertisement/2501015790.jpg,Advertisement
Advertisement/2501030007.jpg,Advertisement
Advertisement/2501053670.jpg,Advertisement
Advertisement/500076275_500076282.jpg,Advertisement
Advertisement/500161305.jpg,Advertisement
Advertisement/500248654+-8654.jpg,Advertisement
Advertisement/500323180+-3180.jpg,Advertisement
Advertisement/500713757_500713758.jpg,Advertisement
Advertisement/501131762+-1762.jpg,Advertisement
Advertisement/501157471+-7480.jpg,Advertisement
Advertisement/501303452+-3452.jpg,Advertisement
Advertisement/501947737_501947738.jpg,Advertisement
Advertisement/502108541+-8546.jpg,Advertisement
Advertisement/502141224.jpg,Advertisement
Advertisement/502217247+-7247.jpg,Advertisement
Advertisement/502218620.jpg,Advertisement
Advertisement/502219477.jpg,Advertisement
Advertisement/502339758+-9761.jpg,Advertisement
Advertisement/502471549.jpg,Advertisement
